Naam;URN;Waarde;IMBRO;IMBRO/A;Definitie
"BijzonderheidBovenin";"urn:bro:sfr:SpecialFeatureTop";"zanddekDunStenen";"Ja";"Nee";"Zanddekje, beginnend aan maaiveld en 5 à 15 cm dik en stenen in de bovenste 40 cm van het profiel (code "sm"). Van toepassing bij podzolgronden, kalkloze zandgronden en leemgronden."
"BijzonderheidBovenin";"urn:bro:sfr:SpecialFeatureTop";"zavelKleidek";"Ja";"Nee";"Zavel- of kleidek, beginnend aan maaiveld en 15 à 40 cm dik (code "k"). Van toepassing bij kalkloze en kalkhoudende zandgronden en leemgronden."
"BijzonderheidBovenin";"urn:bro:sfr:SpecialFeatureTop";"zavelKleidekGrind";"Ja";"Nee";"Zavel- of kleidek, beginnend aan maaiveld en 15 à 40 cm dik en grind, ondieper dan 40 cm beginnend (code "kg"). Van toepassing bij kalkloze zandgronden en leemgronden."
"BijzonderheidBovenin";"urn:bro:sfr:SpecialFeatureTop";"zavelKleidekIJzerrijk";"Ja";"Nee";"Zavel- of kleidek, beginnend aan maaiveld en 15 à 40 cm dik en ijzerrijk, binnen 50 cm beginnend en ten minste 10 cm dik (code "kf"). Van toepassing bij kalkloze zandgronden en leemgronden."
"BijzonderheidBovenin";"urn:bro:sfr:SpecialFeatureTop";"zavelKleidekStenen";"Ja";"Nee";"Zavel- of kleidek, beginnend aan maaiveld en 15 à 40 cm dik en stenen in de bovenste 40 cm van het profiel (code "km"). Van toepassing bij kalkloze zandgronden en leemgronden."
"BijzonderheidBovenin";"urn:bro:sfr:SpecialFeatureTop";"zouthoudend";"Ja";"Nee";"Zout kwelwater in de bovenste 40 cm van het profiel (code "n"). Van toepassing bij kleigronden en kalkhoudende zandgronden."
"BijzonderheidBovenin";"urn:bro:sfr:SpecialFeatureTop";"zouthoudendGrind";"Ja";"Nee";"Zout kwelwater in de bovenste 40 cm van het profiel en grind, ondieper dan 40 cm beginnend (code "ng"). Van toepassing bij kleigronden en kalkhoudende zandgronden."
"BijzonderheidBovenin";"urn:bro:sfr:SpecialFeatureTop";"zouthoudendIJzerrijk";"Ja";"Nee";"Zout kwelwater in de bovenste 40 cm van het profiel en ijzerrijk, binnen 50 cm beginnend en ten minste 10 cm dik (code "nf"). Van toepassing bij kleigronden en kalkhoudende zandgronden."
"BijzonderheidBovenin";"urn:bro:sfr:SpecialFeatureTop";"zouthoudendStenen";"Ja";"Nee";"Zout kwelwater in de bovenste 40 cm van het profiel en stenen in de bovenste 40 cm van het profiel (code "nm"). Van toepassing bij kleigronden en kalkhoudende zandgronden."
"BijzonderheidLocatie";"urn:bro:sfr:SpecialFeatureSite";"dal";"Ja";"Nee";"Bodem in een dal, in de nabijheid van een helling (code "d"). Van toepassing alleen in Zuid-Limburg, bij leemgronden, brikgronden en kleigronden."
"BijzonderheidLocatie";"urn:bro:sfr:SpecialFeatureSite";"helling";"Ja";"Nee";"Bodem op een helling (code "h"). Van toepassing alleen in Zuid-Limburg, bij leemgronden, brikgronden en kleigronden."
"BijzonderheidLocatie";"urn:bro:sfr:SpecialFeatureSite";"hellingvoet";"Ja";"Nee";"Bodem aan de  voet van een helling (code "c"). Van toepassing  alleen in Zuid-Limburg, bij, leemgronden, brikgronden en kleigronden."
"BijzonderheidLocatie";"urn:bro:sfr:SpecialFeatureSite";"geen";"Ja";"Nee";"Geen bijzonderheden."
"Bodemgebruik";"urn:bro:sfr:SoilUse";"akkerAardappelen";"Ja";"Nee";"Terrein in landelijk gebied in gebruik voor akkerbouw of vollegrondstuinbouw en wel voor aardappelen."
"Bodemgebruik";"urn:bro:sfr:SoilUse";"akkerBieten";"Ja";"Nee";"Terrein in landelijk gebied in gebruik voor akkerbouw of vollegrondstuinbouw en wel voor bieten."
"Bodemgebruik";"urn:bro:sfr:SoilUse";"akkerGewas";"Ja";"Nee";"Terrein in landelijk gebied in gebruik voor akkerbouw of vollegrondstuinbouw, maar niet voor aardappelen, bieten, granen of mais."
"Bodemgebruik";"urn:bro:sfr:SoilUse";"akkerGranen";"Ja";"Nee";"Terrein in landelijk gebied in gebruik voor akkerbouw of vollegrondstuinbouw en wel voor granen."
"Bodemgebruik";"urn:bro:sfr:SoilUse";"akkerKaal";"Ja";"Nee";"Terrein in landelijk gebied in gebruik voor akkerbouw of vollegrondstuinbouw waarvan niet bepaald kan worden welk gewas gezaaid of gepoot is, of welk gewas er heeft gestaan (zoals bij geploegd land)."
"Bodemgebruik";"urn:bro:sfr:SoilUse";"akkerMais";"Ja";"Nee";"Terrein in landelijk gebied in gebruik voor akkerbouw of vollegrondstuinbouw en wel voor mais."
"Bodemgebruik";"urn:bro:sfr:SoilUse";"boomkwekerij";"Ja";"Nee";"Terrein dat niet-verhard is en nog niet werkelijk in gebruik is omdat men het gebruik van het terrein aan het veranderen is."
"Bodemgebruik";"urn:bro:sfr:SoilUse";"boomgaardGeenOndergroei";"Ja";"Nee";"Terrein in landelijk gebied in gebruik als boomkwekerij. "
"Bodemgebruik";"urn:bro:sfr:SoilUse";"boomgaardOndergroei";"Ja";"Nee";"Terrein in landelijk gebied in gebruik als boomkwekerij. "
"Bodemgebruik";"urn:bro:sfr:SoilUse";"gebruikInTransitie";"Ja";"Nee";"Terrein in landelijk gebied in gebruik als boomkwekerij. "
"Bodemgebruik";"urn:bro:sfr:SoilUse";"gemengdBos";"Ja";"Nee";"Terrein in landelijk gebied dat bedekt is met bos, zijnde gemengd bos."
"Bodemgebruik";"urn:bro:sfr:SoilUse";"graslandBlijvend";"Ja";"Nee";"Terrein of een kleiner stuk grond in landelijk gebied dat met gras begroeid is (grasland, wegberm, dijk), zijnde blijvend grasland."
"Bodemgebruik";"urn:bro:sfr:SoilUse";"graslandNietblijvend";"Ja";"Nee";"Terrein of een kleiner stuk grond in landelijk gebied dat met gras begroeid is (grasland, wegberm, dijk), zijnde niet-blijvend grasland."
"Bodemgebruik";"urn:bro:sfr:SoilUse";"loofbos";"Ja";"Nee";"Terrein in landelijk gebied dat bedekt is met loofbos, zijnde meer dan 80% loofbomen in de directe omgeving van het wandonderzoek. "
"Bodemgebruik";"urn:bro:sfr:SoilUse";"naaldbos";"Ja";"Nee";"Terrein in landelijk gebied dat in gebruik is als natuurterrein zonder vegetatie, bijvoorbeeld stranden, wadplaten of stuifzandgebieden."
"Bodemgebruik";"urn:bro:sfr:SoilUse";"natuurGeenVegetatie";"Ja";"Nee";"Terrein in landelijk gebied dat bedekt is met naaldbos, zijnde meer dan 80% naaldbomen in de directe omgeving van het wandonderzoek. "
"Bodemgebruik";"urn:bro:sfr:SoilUse";"natuurKorteVegetatieDroog";"Ja";"Nee";"Terrein in landelijk gebied dat in gebruik is als natuurterrein en begroeid is met korte vegetatie, geen heide, op droge groeiplaatsen, zoals de natuur in de duinen langs de kust en op de Veluwe."
"Bodemgebruik";"urn:bro:sfr:SoilUse";"natuurKorteVegetatieHeide";"Ja";"Nee";"Terrein in landelijk gebied dat in gebruik is als natuurterrein en begroeid is met met korte vegetatie bestaande uit heide."
"Bodemgebruik";"urn:bro:sfr:SoilUse";"natuurKorteVegetatieNat";"Ja";"Nee";"Terrein in landelijk gebied dat in gebruik is als natuurterrein en begroeid is met korte vegetatie, geen heide, op natte groeiplaatsen, zoals de kwelders en slikken langs de kust, gebieden in de Biesbosch, blauwgraslanden enz."
"Bodemgebruik";"urn:bro:sfr:SoilUse";"natuurKorteVegetatieVochtig";"Ja";"Nee";"Terrein in landelijk gebied dat in gebruik is als natuurterrein en begroeid is met korte vegetatie, geen heide, op vochtige groeiplaatsen (niet droog en niet nat)."
"Bodemgebruik";"urn:bro:sfr:SoilUse";"nietLandelijkGras";"Ja";"Nee";"Terrein in niet-landelijk gebied dat overwegend met bomen is begroeid ( plantsoenen, singels, begraafplaatsen, volkstuinen en campings)."
"Bodemgebruik";"urn:bro:sfr:SoilUse";"nietLandelijkBomen";"Ja";"Nee";"Een gebied dat niet als akker, boomkwekerij, bos, fruitteelt, grasland, natuur, plantsoen, sportterrein of tuinbouw gespecificeerd wordt. Meestal is het terrein door recent menselijk ingrijpen sterk beïnvloed. Voorbeelden: bouwterrein, gronddepot, zandafgraving."
"Bodemgebruik";"urn:bro:sfr:SoilUse";"glastuinbouw";"Ja";"Nee";"Terrein in landelijk gebied in gebruik voor tuinbouw onder glas."
"Bodemklasse";"urn:bro:sfr:SoilClass";"aarveengrond";"Ja";"Nee";"Aarveengrond (code "1c")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"akkereerdgrond";"Ja";"Nee";"Akkereerdgrond (code "4t")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"beekvaaggrond";"Ja";"Nee";"Beekvaaggrond (code "5h")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"beemdbrikgrond";"Ja";"Nee";"Beemdbrikgrond (code "3b")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"bergbrikgrond";"Ja";"Nee";"Bergbrikgrond (code "3d")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"boveengrond";"Ja";"Nee";"Boveengrond (code "1g")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"broekeerdgrondMoerig";"Ja";"Nee";"Broekeerdgrond moerige bovengrond (code "v4d")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"broekeerdgrondSiltZanddek";"Ja";"Nee";"Broekeerdgrond kleiig, uiterst fijn silt- of zanddek (code "u4d")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"broekeerdgrondZanddek";"Ja";"Nee";"Broekeerdgrond zanddek, 15 à 40 cm dik, met en zonder minerale eerdlaag (code "z4d")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"broekeerdgrondZavelKleidek";"Ja";"Nee";"Broekeerdgrond zavel- of kleidek (code "k4d")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"bruineBeekeerdgrond";"Ja";"Nee";"Bruine beekeerdgrond (code "4h")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"bruineBeekeerdgrondCultuurdek";"Ja";"Nee";"Bruine beekeerdgrond met een cultuurdek - een 30 à 50 cm dikke bovengrond (code "c4h")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"bruineEnkeerdgrond";"Ja";"Nee";"Bruine enkeerdgrond (code "4r")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"daalbrikgrond";"Ja";"Nee";"Daalbrikgrond (code "3h")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"dampodzolgrond";"Ja";"Nee";"Dampodzolgrond (code "2m")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"delbrikgrond";"Ja";"Nee";"Delbrikgrond (code "3f")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"drechtvaaggrond";"Ja";"Nee";"Drechtvaaggrond (code "5m")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"drechtvaaggrondBeekklei";"Ja";"Nee";"Drechtvaaggrond beekklei (code "B5m")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"drechtvaaggrondBeekkleiGebrokenDek";"Ja";"Nee";"Drechtvaaggrond beekklei, gebroken dek (code "oB5m")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"drechtvaaggrondOudeklei";"Ja";"Nee";"Drechtvaaggrond oude klei (code "K5m")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"drechtvaaggrondOudekleiGebrokenDek";"Ja";"Nee";"Drechtvaaggrond oude klei, gebroken dek (code "oK5m")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"drechtvaaggrondRivierklei";"Ja";"Nee";"Drechtvaaggrond rivierklei (code "R5m")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"drechtvaaggrondRivierkleiBruineKom";"Ja";"Nee";"Drechtvaaggrond rivierklei bruine kom (code "bR5m")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"drechtvaaggrondRivierkleiGebrokenDek";"Ja";"Nee";"Drechtvaaggrond rivierklei, gebroken dek (code "oR5m")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"drechtvaaggrondZeeklei";"Ja";"Nee";"Drechtvaaggrond zeeklei (code "M5m")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"drechtvaaggrondZeekleiGebrokenDek";"Ja";"Nee";"Drechtvaaggrond zeeklei, gebroken dek (code "oM5m")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"drechtvaaggrondZeekleiKnip";"Ja";"Nee";"Drechtvaaggrond zeeklei, knipklei (code "kM5m")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"drechtvaaggrondZeekleiKnippig";"Ja";"Nee";"Drechtvaaggrond zeeklei, knippige klei (code "gM5m")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"duinvaaggrond";"Ja";"Nee";"Duinvaaggrond (code "5t")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"duinvaaggrondMatigHumusarm";"Ja";"Nee";"Duinvaaggrond matig humusarm stuifzand (code "c5t")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"duinvaaggrondUiterstHumusarm";"Ja";"Nee";"Duinvaaggrond uiterst humusarm stuifzand (code "a5t")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"duinvaaggrondZeerHumusarm";"Ja";"Nee";"Duinvaaggrond zeer humusarm stuifzand (code "b5t")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"gooreerdgrond";"Ja";"Nee";"Gooreerdgrond (code "4i")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"gooreerdgrondCultuurdek";"Ja";"Nee";"Gooreerdgrond met een cultuurdek – een 30 à 50 cm dikke bovengrond (code "c4i")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"gorsvaaggrondRivierklei";"Ja";"Nee";"Gorsvaaggrond rivierklei (code "R5d")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"gorsvaaggrondZeeklei";"Ja";"Nee";"Gorsvaaggrond zeeklei (code "M5d")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"haarpodzolgrond";"Ja";"Nee";"Haarpodzolgrond (code "2z")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"haarpodzolgrondZanddek";"Ja";"Nee";"Haarpodzolgrond met een zanddek (code "2v")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"heuvelpodzolgrond";"Ja";"Nee";"Heuvelpodzolgrond (code "2x")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"hoekpodzolgrond";"Ja";"Nee";"Hoekpodzolgrond (code "2g")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"hofeerdgrond";"Ja";"Nee";"Hofeerdgrond (code "4x")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"hofeerdgrondBeekklei";"Ja";"Nee";"Hofeerdgrond beekklei (code "B4x")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"hofeerdgrondBeekkleiGebrokenDek";"Ja";"Nee";"Hofeerdgrond beekklei, gebroken dek (code "oB4x")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"hofeerdgrondOudeklei";"Ja";"Nee";"Hofeerdgrond oude klei (code "K4x")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"hofeerdgrondRivierklei";"Ja";"Nee";"Hofeerdgrond rivierklei (code "R4x")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"hofeerdgrondRivierkleiGebrokenDek";"Ja";"Nee";"Hofeerdgrond rivierklei, gebroken dek (code "oR4x")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"hofeerdgrondZeeklei";"Ja";"Nee";"Hofeerdgrond zeeklei (code "M4x")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"hofeerdgrondZeekleiGebrokenDek";"Ja";"Nee";"Hofeerdgrond zeeklei, gebroken dek (code "oM4x")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"hofeerdgrondZeekleiKnip";"Ja";"Nee";"Hofeerdgrond zeeklei knipklei (code "kM4x")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"hofeerdgrondZeekleiKnippig";"Ja";"Nee";"Hofeerdgrond zeeklei knippige klei (code "gM4x")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"holtpodzolgrond";"Ja";"Nee";"Holtpodzolgrond (code "2i")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"holtpodzolgrondZanddek";"Ja";"Nee";"Holtpodzolgrond met een zanddek (code "2c")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"horstpodzolgrond";"Ja";"Nee";"Horstpodzolgrond (code "2h")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"kamppodzolgrond";"Ja";"Nee";"Kamppodzolgrond (code "2w")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"kanteerdgrond";"Ja";"Nee";"Kanteerdgrond (code "4v")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"koopveengrond";"Ja";"Nee";"Koopveengrond (code "1d")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"krijteerdgrondOudeklei";"Ja";"Nee";"Krijteerdgrond oude klei (code "K4q")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"krijtvaaggrondOudeklei";"Ja";"Nee";"Krijtvaaggrond oude klei (code "K5q")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"kuilbrikgrond";"Ja";"Nee";"Kuilbrikgrond (code "3c")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"laarpodzolgrond";"Ja";"Nee";"Laarpodzolgrond (code "2q")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"leekeerdgrond";"Ja";"Nee";"Leekeerdgrond (code "4p")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"leekeerdgrondBeekklei";"Ja";"Nee";"Leekeerdgrond beekklei (code "B4p")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"leekeerdgrondBeekkleiGebrokenDek";"Ja";"Nee";"Leekeerdgrond beekklei, gebroken dek (code "oB4p")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"leekeerdgrondOudeklei";"Ja";"Nee";"Leekeerdgrond oude klei (code "K4p")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"leekeerdgrondOudekleiGebrokenDek";"Ja";"Nee";"Leekeerdgrond oude klei, gebroken dek (code "oK4p")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"leekeerdgrondRivierklei";"Ja";"Nee";"Leekeerdgrond rivierklei (code "R4p")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"leekeerdgrondRivierkleiBruineKom";"Ja";"Nee";"Leekeerdgrond rivierklei bruine kom (code "bR4p")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"leekeerdgrondRivierkleiGebrokenDek";"Ja";"Nee";"Leekeerdgrond rivierklei, gebroken dek (code "oR4p")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"leekeerdgrondZeeklei";"Ja";"Nee";"Leekeerdgrond zeeklei (code "M4p")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"leekeerdgrondZeekleiGebrokenDek";"Ja";"Nee";"Leekeerdgrond zeeklei, gebroken dek (code "oM4p")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"leekeerdgrondZeekleiKnip";"Ja";"Nee";"Leekeerdgrond zeeklei, knipklei (code "kM4p")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"leekeerdgrondZeekleiKnippig";"Ja";"Nee";"Leekeerdgrond zeeklei, knippige klei (code "gM4p")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"liedeerdgrond";"Ja";"Nee";"Liedeerdgrond (code "4m")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"liedeerdgrondBeekklei";"Ja";"Nee";"Liedeerdgrond beekklei (code "B4m")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"liedeerdgrondBeekkleiGebrokenDek";"Ja";"Nee";"Liedeerdgrond beekklei, gebroken dek (code "oB4m")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"liedeerdgrondOudeklei";"Ja";"Nee";"Liedeerdgrond oude klei (code "K4m")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"liedeerdgrondOudekleiGebrokenDek";"Ja";"Nee";"Liedeerdgrond oude klei, gebroken dek (code "oK4m")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"liedeerdgrondRivierklei";"Ja";"Nee";"Liedeerdgrond rivierklei (code "R4m")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"liedeerdgrondRivierkleiBruineKom";"Ja";"Nee";"Liedeerdgrond rivierklei bruine kom (code "bR4m")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"liedeerdgrondRivierkleiGebrokenDek";"Ja";"Nee";"Liedeerdgrond rivierklei, gebroken dek (code "oR4m")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"liedeerdgrondZeeklei";"Ja";"Nee";"Liedeerdgrond zeeklei (code "M4m")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"liedeerdgrondZeekleiGebrokenDek";"Ja";"Nee";"Liedeerdgrond zeeklei, gebroken dek (code "oM4m")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"liedeerdgrondZeekleiKnip";"Ja";"Nee";"Liedeerdgrond zeeklei, knipklei (code "kM4m")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"liedeerdgrondZeekleiKnippig";"Ja";"Nee";"Liedeerdgrond zeeklei, knippige klei (code "gM4m")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"loopodzolgrond";"Ja";"Nee";"Loopodzolgrond (code "2d")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"madeveengrond";"Ja";"Nee";"Madeveengrond (code "1h")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"meerveengrond";"Ja";"Nee";"Meerveengrond (code "1t")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"moerpodzolgrond";"Ja";"Nee";"Moerpodzolgrond (code "2n")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"moerpodzolgrondZanddek";"Ja";"Nee";"Moerpodzolgrond met een zanddek (code "2l")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"moerpodzolgrondZavelKleidek";"Ja";"Nee";"Moerpodzolgrond met een zavel- of kleidek (code "2k")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"nesvaaggrond";"Ja";"Nee";"Nesvaaggrond (code "5n")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"nesvaaggrondBeekklei";"Ja";"Nee";"Nesvaaggrond beekklei (code "B5n")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"nesvaaggrondBeekkleiGebrokenDek";"Ja";"Nee";"Nesvaaggrond beekklei, gebroken dek (code "oB5n")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"nesvaaggrondOudeklei";"Ja";"Nee";"Nesvaaggrond oude klei (code "K5n")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"nesvaaggrondOudekleiGebrokenDek";"Ja";"Nee";"Nesvaaggrond oude klei, gebroken dek (code "oK5n")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"nesvaaggrondRivierklei";"Ja";"Nee";"Nesvaaggrond rivierklei (code "R5n")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"nesvaaggrondRivierkleiBruineKom";"Ja";"Nee";"Nesvaaggrond rivierklei bruine kom (code "bR5n")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"nesvaaggrondRivierkleiGebrokenDek";"Ja";"Nee";"Nesvaaggrond rivierklei, gebroken dek (code "oR5n")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"nesvaaggrondZeeklei";"Ja";"Nee";"Nesvaaggrond zeeklei (code "M5n")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"nesvaaggrondZeekleiGebrokenDek";"Ja";"Nee";"Nesvaaggrond zeeklei, gebroken dek (code "oM5n")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"nesvaaggrondZeekleiKnip";"Ja";"Nee";"Nesvaaggrond zeeklei, knipklei (code "kM5n")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"nesvaaggrondZeekleiKnippig";"Ja";"Nee";"Nesvaaggrond zeeklei, knippige klei (code "gM5n")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"ooivaaggrond";"Ja";"Nee";"Ooivaaggrond (code "5x")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"ooivaaggrondBeekklei";"Ja";"Nee";"Ooivaaggrond beekklei (code "B5x")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"ooivaaggrondBeekkleiGebrokenDek";"Ja";"Nee";"Ooivaaggrond beekklei, gebroken dek (code "oB5x")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"ooivaaggrondOudeklei";"Ja";"Nee";"Ooivaaggrond oude klei (code "K5x")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"ooivaaggrondOudekleiGebrokenDek";"Ja";"Nee";"Ooivaaggrond oude klei, gebroken dek (code "oK5x")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"ooivaaggrondRivierklei";"Ja";"Nee";"Ooivaaggrond rivierklei (code "R5x")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"ooivaaggrondRivierkleiBruineKom";"Ja";"Nee";"Ooivaaggrond rivierklei bruine kom (code "bR5x")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"ooivaaggrondRivierkleiGebrokenDek";"Ja";"Nee";"Ooivaaggrond rivierklei, gebroken dek (code "oR5x")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"ooivaaggrondZeeklei";"Ja";"Nee";"Ooivaaggrond zeeklei (code "M5x")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"ooivaagrondZeekleiGebrokenDek";"Ja";"Nee";"Ooivaaggrond zeeklei, gebroken dek (code "oM5x")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"ooivaaggrondZeekleiKnip";"Ja";"Nee";"Ooivaaggrond zeeklei knipklei (code "kM5x")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"ooivaaggrondZeekleiKnippig";"Ja";"Nee";"Ooivaaggrond zeeklei knippige klei (code "gM5x")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"plaseerdgrondMoerig";"Ja";"Nee";"Plaseerdgrond moerige bovengrond (code "v4c")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"plaseerdgrondUiterstFijnZanddek";"Ja";"Nee";"Plaseerdgrond met dek van uiterst fijn zand (code "u4c")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"plaseerdgrondZanddek";"Ja";"Nee";"Plaseerdgrond zanddek, 15 à 40 cm dik, met en zonder minerale eerdlaag (code "z4c")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"plaseerdgrondZavelKleidek";"Ja";"Nee";"Plaseerdgrond zavel- of kleidek, 15 à 40 cm dik (code "k4c")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"poldervaaggrond";"Ja";"Nee";"Poldervaaggrond (code "5p")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"poldervaaggrondBeekklei";"Ja";"Nee";"Poldervaaggrond beekklei (code "B5p")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"poldervaaggrondBeekkleiGebrokenDek";"Ja";"Nee";"Poldervaaggrond beekklei, gebroken dek (code "oB5p")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"poldervaaggrondOudeklei";"Ja";"Nee";"Poldervaaggrond oude klei (code "K5p")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"poldervaaggrondOudekleiGebrokenDek";"Ja";"Nee";"Poldervaaggrond oude klei, gebroken dek (code "oK5p")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"poldervaaggrondRivierklei";"Ja";"Nee";"Poldervaagrond rivierklei (code "R5p")."
"Bodemklasse";"urn:bro:sfr:SoilClass";"poldervaaggrondRivierkleiBruineKom";"Ja";"Nee";"Poldervaaggrond rivierklei, bruine kom (code "bR5p")."
